x,y,z
342,253,0
343,253,0
344,253,0
345,253,0
346,253,0
340,254,0
341,254,0
342,254,0
343,254,0
344,254,0
345,254,0
346,254,0
347,254,0
348,254,0
339,255,0
340,255,0
341,255,0
342,255,0
343,255,0
344,255,0
345,255,0
346,255,0
347,255,0
348,255,0
349,255,0
350,255,0
339,256,0
340,256,0
341,256,0
342,256,0
343,256,0
344,256,0
345,256,0
346,256,0
347,256,0
348,256,0
349,256,0
350,256,0
351,256,0
352,256,0
339,257,0
340,257,0
341,257,0
342,257,0
343,257,0
344,257,0
345,257,0
346,257,0
347,257,0
348,257,0
349,257,0
350,257,0
351,257,0
352,257,0
353,257,0
339,258,0
340,258,0
341,258,0
342,258,0
343,258,0
344,258,0
345,258,0
346,258,0
347,258,0
348,258,0
349,258,0
350,258,0
351,258,0
352,258,0
353,258,0
354,258,0
355,258,0
339,259,0
340,259,0
341,259,0
342,259,0
343,259,0
344,259,0
345,259,0
346,259,0
347,259,0
348,259,0
349,259,0
350,259,0
351,259,0
352,259,0
353,259,0
354,259,0
355,259,0
356,259,0
339,260,0
340,260,0
341,260,0
342,260,0
343,260,0
344,260,0
345,260,0
346,260,0
347,260,0
348,260,0
349,260,0
350,260,0
351,260,0
352,260,0
353,260,0
354,260,0
355,260,0
356,260,0
339,261,0
340,261,0
341,261,0
342,261,0
343,261,0
344,261,0
345,261,0
346,261,0
347,261,0
348,261,0
349,261,0
350,261,0
351,261,0
352,261,0
353,261,0
354,261,0
355,261,0
356,261,0
357,261,0
339,262,0
340,262,0
341,262,0
342,262,0
343,262,0
344,262,0
345,262,0
346,262,0
347,262,0
348,262,0
349,262,0
350,262,0
351,262,0
352,262,0
353,262,0
354,262,0
355,262,0
356,262,0
357,262,0
358,262,0
339,263,0
340,263,0
341,263,0
342,263,0
343,263,0
344,263,0
345,263,0
346,263,0
347,263,0
348,263,0
349,263,0
350,263,0
351,263,0
352,263,0
353,263,0
354,263,0
355,263,0
356,263,0
357,263,0
358,263,0
359,263,0
340,264,0
341,264,0
342,264,0
343,264,0
344,264,0
345,264,0
346,264,0
347,264,0
348,264,0
349,264,0
350,264,0
351,264,0
352,264,0
353,264,0
354,264,0
355,264,0
356,264,0
357,264,0
358,264,0
359,264,0
360,264,0
340,265,0
341,265,0
342,265,0
343,265,0
344,265,0
345,265,0
346,265,0
347,265,0
348,265,0
349,265,0
350,265,0
351,265,0
352,265,0
353,265,0
354,265,0
355,265,0
356,265,0
357,265,0
358,265,0
359,265,0
360,265,0
361,265,0
341,266,0
342,266,0
343,266,0
344,266,0
345,266,0
346,266,0
347,266,0
348,266,0
349,266,0
350,266,0
351,266,0
352,266,0
353,266,0
354,266,0
355,266,0
356,266,0
357,266,0
358,266,0
359,266,0
360,266,0
361,266,0
341,267,0
342,267,0
343,267,0
344,267,0
345,267,0
346,267,0
347,267,0
348,267,0
349,267,0
350,267,0
351,267,0
352,267,0
353,267,0
354,267,0
355,267,0
356,267,0
357,267,0
358,267,0
359,267,0
360,267,0
361,267,0
362,267,0
342,268,0
343,268,0
344,268,0
345,268,0
346,268,0
347,268,0
348,268,0
349,268,0
350,268,0
351,268,0
352,268,0
353,268,0
354,268,0
355,268,0
356,268,0
357,268,0
